index,timestampSec,durationSec,keyFrame,pictureType,meanY,p50Y,p95Y,p99Y,maxY,bright90Fraction,bright98Fraction,deltaMean,deltaFraction01,deltaMaxTile,deltaTileX,deltaTileY
11,0.44,,0,P,0.09915617162745098,0.0941286274509804,0.12175450980392157,0.35075686274509804,0.9588243137254903,0.000225,0.0,0.00011078431372549022,0.0,0.0008651960784313731,120,80
12,0.48,,0,P,0.09915950496078432,0.0941286274509804,0.12204235294117646,0.35052156862745093,0.9588243137254903,0.000225,0.0,0.00011078431372549022,0.0,0.0008651960784313731,120,80
13,0.52,,0,P,0.09915617162745098,0.0941286274509804,0.12175450980392157,0.35075686274509804,0.9588243137254903,0.000225,0.0,0.00011078431372549022,0.0,0.0008651960784313731,120,80
14,0.56,,0,P,0.09927360149019608,0.0941286274509804,0.12289176470588235,0.35064,0.9526533333333332,0.0002,0.0,0.000721422294117647,0.0,0.0025887568627450987,0,0
15,0.6,,0,P,0.09920101078431372,0.0941286274509804,0.12157960784313726,0.35050980392156855,0.9526533333333332,0.0002,0.0,0.00011564458823529413,0.0,0.0005931372549019607,0,0
16,0.64,,0,P,0.09920036619607844,0.0941286274509804,0.12157960784313726,0.35050980392156855,0.9526533333333332,0.0002,0.0,4.240929411764707e-05,0.0,0.000522058823529412,120,80
17,0.68,,0,P,0.09920101078431372,0.0941286274509804,0.12157960784313726,0.35050980392156855,0.9526533333333332,0.0002,0.0,4.240929411764707e-05,0.0,0.000522058823529412,120,80
18,0.72,,0,P,0.09920036619607844,0.0941286274509804,0.12157960784313726,0.35050980392156855,0.9526533333333332,0.0002,0.0,4.240929411764707e-05,0.0,0.000522058823529412,120,80
19,0.76,,0,P,0.09920101078431372,0.0941286274509804,0.12157960784313726,0.35050980392156855,0.9526533333333332,0.0002,0.0,4.240929411764707e-05,0.0,0.000522058823529412,120,80
20,0.8,,0,P,0.09920036619607844,0.0941286274509804,0.12157960784313726,0.35050980392156855,0.9526533333333332,0.0002,0.0,4.240929411764707e-05,0.0,0.000522058823529412,120,80
21,0.84,,0,P,0.09920101078431372,0.0941286274509804,0.12157960784313726,0.35050980392156855,0.9526533333333332,0.0002,0.0,4.240929411764707e-05,0.0,0.000522058823529412,120,80
22,0.88,,0,P,0.10465168582352942,0.0941286274509804,0.15472313725490194,0.38209176470588235,0.9509811764705882,0.0002,0.0,0.020181866843137254,0.0504,0.09289937499999999,80,80
23,0.92,,0,P,0.11803360605882353,0.0941286274509804,0.25457568627450977,0.5237803921568627,0.9509811764705882,0.0002,0.0,0.0181569382745098,0.0509,0.12881698921568627,80,80
24,0.96,,0,P,0.1229029714117647,0.09552235294117647,0.24145098039215687,0.5226447058823529,0.9509811764705882,0.0002,0.0,0.024924356098039214,0.062125,0.1619852357843137,40,80
25,1.0,,0,P,0.12753507637254902,0.10197176470588236,0.2354243137254902,0.5122180392156863,0.9549027450980392,0.000225,0.0,0.022701958411764703,0.0514,0.11826527107843136,120,80
26,1.04,,0,P,0.13024166901960785,0.11373647058823529,0.2039325490196078,0.5012517647058823,0.9804078431372548,0.000175,2.5e-05,0.024617816411764703,0.0491,0.11975304313725489,120,80
27,1.08,,0,P,0.132806279,0.11847137254901961,0.19014980392156863,0.5012580392156862,0.962709019607843,5e-05,0.0,0.029917793745098037,0.04445,0.11160349705882351,120,80
28,1.12,,0,P,0.1301623441372549,0.11822431372549021,0.17775764705882355,0.4350603921568627,0.9750909803921569,0.0001,0.0,0.022127194431372548,0.035825,0.08114817156862746,160,80
29,1.16,,0,P,0.12448156915686275,0.11430274509803921,0.16795450980392157,0.38168862745098037,0.9836847058823529,7.5e-05,2.5e-05,0.023223527843137255,0.027075,0.07800088186274509,0,80
30,1.2,,0,P,0.1207606374117647,0.10894509803921568,0.16604000000000002,0.3654180392156862,0.9730172549019607,0.000175,0.0,0.013556654019607843,0.013125,0.04940983725490196,160,80
31,1.24,,0,P,0.11639295562745099,0.09861647058823529,0.15687372549019604,0.35328156862745097,0.9517968627450979,0.0001,0.0,0.011584454411764707,0.012875,0.0594542681372549,0,0
32,1.28,,0,P,0.11177928803921568,0.09439607843137254,0.15546901960784312,0.35878588235294123,0.9278290196078431,0.000125,0.0,0.011255359745098038,0.009675,0.07205709313725489,0,0
